NAME,ID,EVENT,template-id,ROLL-NO,EMAIL,Ticket Number,Ticket-ID
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,EB66ARON,SAVISHKAARA#2302_EB66ARON.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,DNBJJHMJ,SAVISHKAARA#2303_DNBJJHMJ.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,CZL6E9FK,SAVISHKAARA#2304_CZL6E9FK.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,KMJDCUZG,SAVISHKAARA#2301_KMJDCUZG.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,AUEL1T6W,SAVISHKAARA#2302_AUEL1T6W.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,UWBCG4NH,SAVISHKAARA#2303_UWBCG4NH.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,T74RFC1L,SAVISHKAARA#2304_T74RFC1L.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,7ZJ3AQHT,SAVISHKAARA#2301_7ZJ3AQHT.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,1V2FY64Y,SAVISHKAARA#2302_1V2FY64Y.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,0Y6CNQCG,SAVISHKAARA#2303_0Y6CNQCG.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,1XBAB200,SAVISHKAARA#2304_1XBAB200.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,OR56084R,SAVISHKAARA#2301_OR56084R.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,X2YLSOM8,SAVISHKAARA#2302_X2YLSOM8.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,9J5VQ941,SAVISHKAARA#2303_9J5VQ941.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,TJJZGIYJ,SAVISHKAARA#2304_TJJZGIYJ.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,RIINB67G,SAVISHKAARA#2301_RIINB67G.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,YY295GD3,SAVISHKAARA#2302_YY295GD3.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,1DYLTSRE,SAVISHKAARA#2303_1DYLTSRE.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,R7ARZ90W,SAVISHKAARA#2304_R7ARZ90W.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,GD5HL6NU,SAVISHKAARA#2301_GD5HL6NU.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,93JSCW12,SAVISHKAARA#2302_93JSCW12.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,AB1BA6JU,SAVISHKAARA#2303_AB1BA6JU.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,I2ABLHYL,SAVISHKAARA#2304_I2ABLHYL.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,OI2L7T7F,SAVISHKAARA#2301_OI2L7T7F.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,6AGOWX8Z,SAVISHKAARA#2302_6AGOWX8Z.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,PT6JZILW,SAVISHKAARA#2303_PT6JZILW.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,J7NGBV2B,SAVISHKAARA#2304_J7NGBV2B.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,LJ2Y3Z9L,SAVISHKAARA#2301_LJ2Y3Z9L.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,SY9XOKUT,SAVISHKAARA#2302_SY9XOKUT.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,T732FLGO,SAVISHKAARA#2303_T732FLGO.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,0RH4DM8L,SAVISHKAARA#2304_0RH4DM8L.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,ULUHZ04E,SAVISHKAARA#2301_ULUHZ04E.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,NDZJ5758,SAVISHKAARA#2302_NDZJ5758.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,FUTV00CO,SAVISHKAARA#2303_FUTV00CO.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,DERS3V1G,SAVISHKAARA#2304_DERS3V1G.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,TE73QFFR,SAVISHKAARA#2301_TE73QFFR.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,GCPJMH7U,SAVISHKAARA#2302_GCPJMH7U.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,PER19AAE,SAVISHKAARA#2303_PER19AAE.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,YG1RPDAX,SAVISHKAARA#2304_YG1RPDAX.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,LZMZRWBP,SAVISHKAARA#2301_LZMZRWBP.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,GJ99HRYZ,SAVISHKAARA#2302_GJ99HRYZ.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,MLE81QVH,SAVISHKAARA#2303_MLE81QVH.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,48WVVATI,SAVISHKAARA#2304_48WVVATI.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,HMZNI3RP,SAVISHKAARA#2301_HMZNI3RP.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,A21X1BZO,SAVISHKAARA#2302_A21X1BZO.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,DTL2F9KD,SAVISHKAARA#2303_DTL2F9KD.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,ZNDUXUSR,SAVISHKAARA#2304_ZNDUXUSR.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,8OVJ8C76,SAVISHKAARA#2301_8OVJ8C76.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,0CX1QHFY,SAVISHKAARA#2302_0CX1QHFY.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,USLFOT5T,SAVISHKAARA#2303_USLFOT5T.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,MLLP1G9B,SAVISHKAARA#2304_MLLP1G9B.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,UVFKNZW0,SAVISHKAARA#2301_UVFKNZW0.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,EU6Q08KR,SAVISHKAARA#2302_EU6Q08KR.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,OURXIXEU,SAVISHKAARA#2303_OURXIXEU.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,LM24OES9,SAVISHKAARA#2304_LM24OES9.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,IT0OP0GP,SAVISHKAARA#2301_IT0OP0GP.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,J7QXIJKV,SAVISHKAARA#2302_J7QXIJKV.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,TJFLI3LG,SAVISHKAARA#2303_TJFLI3LG.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,DOD8TUKM,SAVISHKAARA#2304_DOD8TUKM.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,6OQTPSNS,SAVISHKAARA#2301_6OQTPSNS.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,XXNSPIE5,SAVISHKAARA#2302_XXNSPIE5.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,M24FWSKJ,SAVISHKAARA#2303_M24FWSKJ.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,S0GR1KG0,SAVISHKAARA#2304_S0GR1KG0.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,JKCVPIEJ,SAVISHKAARA#2301_JKCVPIEJ.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,FP9HKQM1,SAVISHKAARA#2302_FP9HKQM1.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,XX193D7O,SAVISHKAARA#2303_XX193D7O.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,YG6E52MA,SAVISHKAARA#2304_YG6E52MA.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,Z3S4LCZ3,SAVISHKAARA#2301_Z3S4LCZ3.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,0KF9P4K3,SAVISHKAARA#2302_0KF9P4K3.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,AVCLMTER,SAVISHKAARA#2303_AVCLMTER.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,VQYUKKIT,SAVISHKAARA#2304_VQYUKKIT.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,5CT31580,SAVISHKAARA#2301_5CT31580.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,K1HS2LWC,SAVISHKAARA#2302_K1HS2LWC.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,6AFD363R,SAVISHKAARA#2303_6AFD363R.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,JADMN3JC,SAVISHKAARA#2304_JADMN3JC.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,OTMIEWBZ,SAVISHKAARA#2301_OTMIEWBZ.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,G7YNVBPH,SAVISHKAARA#2302_G7YNVBPH.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,KJYO73AC,SAVISHKAARA#2303_KJYO73AC.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,1WAXZTA8,SAVISHKAARA#2304_1WAXZTA8.png
